t;ax;ay;az;distF;distB;distL;distR;alpha;powerL;powerR;
8299;0.588399;0;9.8851;70.8897;27.8034;63.0431;14.1293;204.581;0;0;
8318;0.627626;0;9.84588;70.8379;27.8034;51.181;23.8362;204.708;0;0;
8338;0.509946;0.0392266;10.0028;70.3897;27.8207;63.0948;14.5603;204.369;0;0;
8358;0.549172;0.0392266;9.92433;70.4586;27.769;63.0431;36.5603;203.717;0;0;
8378;0.549172;0;10.0812;70.0103;27.4241;53.0086;23.3534;205.247;0;0;
8397;0.588399;0.0392266;9.92433;70.4414;27.8034;63.5086;14.0948;204.806;0;0;
8416;0.588399;0.0392266;9.92433;70.4414;27.8034;63.5259;14.0948;204.369;0;0;
8436;0.588399;0.0392266;9.92433;70.8724;27.8034;63.0776;14.5603;203.165;0;0;
8457;0.588399;0.0392266;9.8851;70.4414;27.769;63.4914;36.181;205.572;0;0;
8477;0.588399;0;9.92433;70.8897;27.8034;63.5086;36.2328;204.593;0;0;
8497;0.549172;0.0392266;9.92433;70.0103;27.8207;63.0603;15.75;204.581;0;0;
8516;0.509946;0.0392266;9.8851;70.8724;27.8034;63.4741;13.7155;203.935;0;0;
8537;0.588399;0;9.96356;70.4069;27.3724;63.0431;36.181;204.593;0;0;
8556;0.549172;0.0392266;9.92433;70.8724;27.8034;63.8879;13.6983;203.935;0;0;
8575;0.549172;0.0392266;9.92433;70.4759;27.7862;63.4741;14.5948;204.593;0;0;
8595;0.509946;0.0392266;9.8851;70.8552;27.8207;62.6293;14.1121;204.581;0;0;
8614;0.588399;0;9.8851;70.4586;27.8207;63.0431;13.7328;204.044;0;0;
8634;0.549172;0.0392266;9.92433;70.8379;27.8207;62.6638;14.1293;202.957;0;0;
8653;0.549172;0;9.96356;70.4586;27.8207;62.6466;14.1983;204.47;0;0;
8672;0.588399;0;9.8851;70.4414;27.8034;51.2155;23.8707;204.259;0;0;
8691;0.588399;0;9.80665;70.4931;27.8207;51.1293;29.0431;204.902;0;0;
8711;0.588399;0.0392266;9.96356;70.8724;27.8379;50.3534;23.819;205.247;0;0;
8730;0.549172;0;9.8851;70.8379;27.0103;51.7328;24.5776;204.921;0;0;
8749;0.549172;0.0392266;9.92433;70.4759;27.8207;63.0259;13.3017;205.222;0;0;
8769;0.588399;0;9.8851;70.4586;27.8034;63.0431;14.5259;204.15;0;0;
8788;0.549172;0;9.8851;70.4759;14.2345;52.0948;34.8707;204.369;0;0;
8807;0.549172;0;9.8851;70.4586;27.8379;51.681;22.5086;203.935;0;0;
8826;0.509946;0.0784532;9.92433;70.4759;27.8207;63.0603;13.681;204.265;0;0;
8845;0.509946;0.0392266;9.92433;70.8552;27.8207;50.8707;22.9397;204.044;0;0;
